+-----+----------------------------------------------------+------------+------------+-------------+--------+----------------+------------+-----------+-----------------+------------------+-----------------------+----------------+----------------+---------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| idx | short_name                                         | start_ns   | end_ns     | duration_ns | stream | category       | grid       | block     | regs_per_thread | shared_mem_bytes | comm_algorithm        | comm_size_hint | transfer_bytes | transfer_kind | full_name                                                                                                                                                                                                |
| 26  | cvt_fp16_to_fp4                                    | 4479875076 | 4479877316 | 2240        | 7      | compute_kernel | (1,1,1)    | (32,1,1)  | 32              | 0                |                       |                |                |               | void cvt_fp16_to_fp4<__nv_bfloat16, (bool)0>(int, int, const T1 *, const float *, unsigned int *, unsigned int *)                                                                                        |
| 27  | device_kernel                                      | 4479876932 | 4479881956 | 5024        | 7      | compute_kernel | (1,112,1)  | (256,1,1) | 81              | 218112           |                       |                |                |               | void cutlass::device_kernel<flashinfer::gemm::DeviceGemmFp4GemmSm100___nv_bfloat16_128_64_128_1_1_1_1SM::Sm10x11xOnly<cutlass::gemm::kernel::GemmUniversal<cute::tuple<int, int, int, int>, cutlass::... |
| 28  | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256... | 4479878084 | 4479886916 | 8832        | 3488   | compute_kernel | (56,8,1)   | (512,1,1) | 128             | 184432           |                       |                |                |               | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s9_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f                                                     |
| 29  | finalizeKernel                                     | 4479885348 | 4479889284 | 3936        | 3488   | compute_kernel | (28,1,1)   | (256,1,1) | 32              | 0                |                       |                |                |               | void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, (int)4, (bool)1>>(T1)                                                                 |
| 30  | vectorized_elementwise_kernel                      | 4479889316 | 4479890820 | 1504        | 7      | compute_kernel | (7,1,1)    | (128,1,1) | 40              | 0                |                       |                |                |               | void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)                                                    |
| 31  | cross_device_reduce_1stage                         | 4479890884 | 4479901732 | 10848       | 7      | communication  | (2,1,1)    | (512,1,1) | 68              | 0                | AllReduce_custom_symm | 16             |                |               | void sglang::cross_device_reduce_1stage<__nv_bfloat16, (int)8>(sglang::RankData *, sglang::RankSignals, sglang::Signal *, T1 *, int, int)                                                                |
| 32  | kernel_cutlass_kernel_flashinfernormkernelsfuse... | 4479901348 | 4479904292 | 2944        | 7      | compute_kernel | (1,1,1)    | (128,1,1) | 104             | 28688            |                       |                |                |               | kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o716871681_tensorptrbf16gmemalign128o716871681_tensorptrbf16gmemalign_0            |
| 33  | fused_a_gemm_kernel                                | 4479903940 | 4479911844 | 7904        | 7      | compute_kernel | (132,1,1)  | (256,1,1) | 48              | 197632           |                       |                |                |               | void fused_a_gemm_kernel<(int)1, (int)2112, (int)7168, (int)16, (int)8, (int)256, (int)16>(__nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, int)                                           |
| 34  | kernel_cutlass_kernel_flashinfernormkernelsrmsn... | 4479910052 | 4479913380 | 3328        | 7      | compute_kernel | (1,1,1)    | (128,1,1) | 119             | 12304            |                       |                |                |               | kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128o153615361_tensorptrbf16gmemalign16o15361_tensorptrbf16gmemalign128o153615361___True_4__0            |
| 35  | kernel_cutlass_kernel_flashinfernormkernelsrmsn... | 4479912004 | 4479914084 | 2080        | 3488   | compute_kernel | (1,1,1)    | (128,1,1) | 32              | 4112             |                       |                |                |               | kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128o5125121_tensorptrbf16gmemalign16o5121_tensorptrbf16gmemalign128o5125121___True_4_512_0              |
| 36  | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN           | 4479913956 | 4479919396 | 5440        | 7      | compute_kernel | (96,1,1)   | (256,1,1) | 255             | 172552           |                       |                |                |               | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                 |
| 37  | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT            | 4479917796 | 4479921220 | 3424        | 7      | compute_kernel | (64,1,1)   | (256,1,1) | 255             | 156168           |                       |                |                |               | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT                                                                                                                                                                  |
| 38  | RopeQuantizeKernel                                 | 4479921092 | 4479923204 | 2112        | 7      | compute_kernel | (1,81,1)   | (4,32,1)  | 43              | 0                |                       |                |                |               | void flashinfer::RopeQuantizeKernel<(bool)1, (unsigned int)16, (unsigned int)1, __nv_bfloat16, long, __nv_fp8_e4m3>(T4 *, T4 *, T4 *, T4 *, T6 *, T6 *, T6 *, T6 *, float *, T5 *, unsigned int, unsi... |
| 39  | set_mla_kv_buffer_kernel                           | 4479923108 | 4479924420 | 1312        | 7      | compute_kernel | (1,5,1)    | (128,1,1) | 16              | 0                |                       |                |                |               | set_mla_kv_buffer_kernel                                                                                                                                                                                 |
| 40  | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP... | 4479924036 | 4479933828 | 9792        | 7      | compute_kernel | (74,2,1)   | (512,1,1) | 128             | 161456           |                       |                |                |               | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta256PagedKvDenseP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen                                                                                        |
| 41  | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN            | 4479932964 | 4479936772 | 3808        | 7      | compute_kernel | (128,1,1)  | (256,1,1) | 255             | 156168           |                       |                |                |               | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN                                                                                                                                                                  |
| 42  | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT            | 4479935204 | 4479941092 | 5888        | 7      | compute_kernel | (112,1,1)  | (256,1,1) | 255             | 156168           |                       |                |                |               | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT                                                                                                                                                                  |
| 43  | cross_device_reduce_1stage                         | 4479940996 | 4479948420 | 7424        | 7      | communication  | (2,1,1)    | (512,1,1) | 68              | 0                | AllReduce_custom_symm | 16             |                |               | void sglang::cross_device_reduce_1stage<__nv_bfloat16, (int)8>(sglang::RankData *, sglang::RankSignals, sglang::Signal *, T1 *, int, int)                                                                |
| 44  | kernel_cutlass_kernel_flashinfernormkernelsfuse... | 4479947876 | 4479950980 | 3104        | 7      | compute_kernel | (1,1,1)    | (128,1,1) | 104             | 28688            |                       |                |                |               | kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o716871681_tensorptrbf16gmemalign128o716871681_tensorptrbf16gmemalign_0            |
